lat,lon,time range,mmsi,entry timestamp,exit timestamp,apparent fishing hours
-16.4,-73.800003,2023-02,760031085,2023-01-01T09:00:00Z,2023-02-13T02:00:00Z,3.83
-8.3,-79,2023-01,760006613,2023-01-02T01:00:00Z,2023-02-02T17:00:00Z,0.25
-14.4,-77.199997,2023-02,789654321,2023-02-10T08:00:00Z,2023-03-31T20:00:00Z,0.58
-7,-80.199997,2023-01,760003520,2023-01-01T07:00:00Z,2023-03-23T12:00:00Z,4.26
-6.9,-80.099998,2023-01,760017362,2023-01-01T09:00:00Z,2023-03-18T16:00:00Z,2.89
-8.2,-79.400002,2023-01,760002940,2023-01-01T10:00:00Z,2023-02-04T16:00:00Z,0.66
-6.8,-81.699997,2023-02,760013244,2023-01-01T21:00:00Z,2023-03-16T10:00:00Z,4.32
-8.2,-79.199997,2023-01,760003470,2023-01-01T07:00:00Z,2023-03-29T19:00:00Z,1.72
-16.8,-77,2023-03,735059025,2023-01-29T22:00:00Z,2023-03-29T21:00:00Z,5.8
-15,-77.300003,2023-03,760003430,2023-01-01T13:00:00Z,2023-03-28T07:00:00Z,4.06
-17.6,-71.5,2023-02,760012234,2023-01-01T03:00:00Z,2023-02-21T00:00:00Z,0.25
-15.6,-77.699997,2023-02,760013244,2023-01-01T21:00:00Z,2023-03-16T10:00:00Z,1.56
-13.9,-76.5,2023-01,760001360,2023-01-01T09:00:00Z,2023-03-31T22:00:00Z,2.17
-6.8,-80.199997,2023-01,760003430,2023-01-01T13:00:00Z,2023-03-28T07:00:00Z,1.57
-12.6,-76.900002,2023-01,760010398,2023-01-01T00:00:00Z,2023-02-18T08:00:00Z,4.83
-12,-77.400002,2023-01,760004122,2023-01-01T09:00:00Z,2023-03-19T11:00:00Z,1
-8.3,-79.099998,2023-01,760015260,2023-01-01T10:00:00Z,2023-03-03T23:00:00Z,3.24
-9.6,-78.5,2023-02,760040300,2023-01-01T09:00:00Z,2023-02-05T15:00:00Z,5.97
-9.7,-79,2023-02,760001250,2023-01-01T09:00:00Z,2023-03-28T16:00:00Z,0.47
-9.3,-80.199997,2023-03,760015260,2023-01-01T10:00:00Z,2023-03-03T23:00:00Z,1.13
-9.4,-78.699997,2023-02,760001260,2023-01-01T14:00:00Z,2023-02-23T13:00:00Z,3.53
-13.4,-76.300003,2023-01,760000210,2023-01-01T02:00:00Z,2023-03-16T12:00:00Z,2.36
-9.7,-78.400002,2023-01,760001260,2023-01-01T14:00:00Z,2023-02-23T13:00:00Z,3.57
-8.3,-79.099998,2023-01,760001700,2023-01-02T01:00:00Z,2023-03-31T23:00:00Z,1.75
-8.3,-79.199997,2023-01,760038248,2023-01-01T00:00:00Z,2023-02-10T19:00:00Z,0.5
-15.3,-76.699997,2023-02,760003470,2023-01-01T07:00:00Z,2023-03-29T19:00:00Z,0.82
-13.3,-76.599998,2023-01,789564123,2023-01-01T11:00:00Z,2023-02-26T13:00:00Z,3.29
-6.6,-80.699997,2023-01,760005276,2023-01-01T21:00:00Z,2023-02-11T20:00:00Z,1.1
-14,-76.5,2023-01,760012234,2023-01-01T03:00:00Z,2023-02-21T00:00:00Z,1.55
-6.2,-81.099998,2023-01,760003580,2023-01-02T00:00:00Z,2023-03-31T21:00:00Z,1.53
-14.5,-78.599998,2023-03,735057685,2023-03-15T22:00:00Z,2023-03-31T23:00:00Z,4.82
-7.2,-80.400002,2023-01,760000920,2023-01-01T07:00:00Z,2023-03-01T03:00:00Z,0.34
-13.1,-76.800003,2023-01,760000110,2023-01-01T06:00:00Z,2023-03-18T16:00:00Z,0.39
-10.6,-79.099998,2023-03,760018517,2023-01-01T08:00:00Z,2023-03-19T12:00:00Z,2.01
-6.6,-80.800003,2023-01,760015260,2023-01-01T10:00:00Z,2023-03-03T23:00:00Z,5.51
-11.7,-77.5,2023-01,760009908,2023-01-01T00:00:00Z,2023-03-19T00:00:00Z,4.26
-9.1,-80.400002,2023-03,760012394,2023-01-01T01:00:00Z,2023-03-14T22:00:00Z,2.07
-12.9,-77,2023-02,760999991,2023-01-01T07:00:00Z,2023-03-16T11:00:00Z,3.16
-9.9,-78.400002,2023-01,760003480,2023-01-01T00:00:00Z,2023-03-30T17:00:00Z,8.62
-15,-77.300003,2023-03,760999991,2023-01-01T07:00:00Z,2023-03-16T11:00:00Z,2
-8.2,-79.300003,2023-01,760115435,2023-01-01T15:00:00Z,2023-02-05T17:00:00Z,4.38
-7.7,-79.599998,2023-01,760110064,2023-01-01T10:00:00Z,2023-02-05T17:00:00Z,0.5
-7.1,-80,2023-01,760018813,2023-01-01T08:00:00Z,2023-03-31T19:00:00Z,3.45
-10.5,-78.099998,2023-02,760016647,2023-01-01T08:00:00Z,2023-02-04T19:00:00Z,2.27
-15.8,-74.699997,2023-03,760003520,2023-01-01T07:00:00Z,2023-03-23T12:00:00Z,1.75
-7.2,-79.800003,2023-01,760003540,2023-01-01T09:00:00Z,2023-03-30T14:00:00Z,2.76
-16.8,-78.199997,2023-03,760038087,2023-01-21T13:00:00Z,2023-03-31T23:00:00Z,8.97
-12.5,-77,2023-01,760010447,2023-01-01T03:00:00Z,2023-03-17T21:00:00Z,2.46
-7.4,-79.699997,2023-01,760000560,2023-01-01T07:00:00Z,2023-02-04T20:00:00Z,9.54
-8.1,-79.5,2023-01,760016647,2023-01-01T08:00:00Z,2023-02-04T19:00:00Z,1.6
-11.6,-77.5,2023-01,760003420,2023-01-01T02:00:00Z,2023-02-04T21:00:00Z,0.07
-3.4,-81.599998,2023-02,760038246,2023-01-01T01:00:00Z,2023-03-12T05:00:00Z,4.7
-12.6,-77.300003,2023-01,760012234,2023-01-01T03:00:00Z,2023-02-21T00:00:00Z,2.87
-13,-76.699997,2023-01,789564123,2023-01-01T11:00:00Z,2023-02-26T13:00:00Z,1.65
-9.6,-78.599998,2023-01,760000022,2023-01-01T07:00:00Z,2023-03-31T12:00:00Z,1.85
-6.8,-80.199997,2023-01,760004712,2023-01-01T01:00:00Z,2023-03-25T12:00:00Z,1.9
-6.3,-81,2023-01,760018517,2023-01-01T08:00:00Z,2023-03-19T12:00:00Z,8.74
-13.4,-76.300003,2023-01,760016647,2023-01-01T08:00:00Z,2023-02-04T19:00:00Z,1.79
-15.1,-77.800003,2023-02,760062957,2023-01-04T09:00:00Z,2023-02-19T15:00:00Z,0.84
-7.7,-79.800003,2023-02,760000191,2023-01-01T15:00:00Z,2023-03-31T15:00:00Z,0.49
-8.8,-78.900002,2023-01,760001340,2023-01-01T08:00:00Z,2023-02-04T18:00:00Z,0.44
-14.5,-77.400002,2023-02,760003146,2023-01-04T08:00:00Z,2023-03-24T21:00:00Z,0.53
-7.8,-79.800003,2023-02,760014259,2023-01-01T12:00:00Z,2023-02-04T20:00:00Z,4.74
-7.7,-79.599998,2023-01,760999992,2023-01-01T13:00:00Z,2023-01-25T15:00:00Z,2.05
-13.3,-76.599998,2023-01,760009908,2023-01-01T00:00:00Z,2023-03-19T00:00:00Z,0.47
-13.9,-76.699997,2023-01,760015259,2023-01-01T00:00:00Z,2023-03-23T11:00:00Z,0.18
-12.2,-77.099998,2023-01,769493837,2023-01-01T09:00:00Z,2023-02-18T16:00:00Z,2.33
-12.2,-77.300003,2023-03,760000881,2023-01-01T13:00:00Z,2023-03-01T16:00:00Z,2.97
-8,-79.599998,2023-01,760000290,2023-01-01T02:00:00Z,2023-03-25T03:00:00Z,1.47
-6.3,-81,2023-01,760001111,2023-01-01T07:00:00Z,2023-03-07T16:00:00Z,8.22
-7.1,-80.300003,2023-01,760009970,2023-01-01T00:00:00Z,2023-03-30T18:00:00Z,1.97
-6.5,-80.800003,2023-01,760003470,2023-01-01T07:00:00Z,2023-03-29T19:00:00Z,6.09
-7,-80.099998,2023-01,760015259,2023-01-01T00:00:00Z,2023-03-23T11:00:00Z,4.98
