lat,lon,time range,flag,vessel ids,apparent fishing hours
-13.4,-76.8,2023-01,NA,1,1.8
-11.6,-77.7,2023-01,PER,1,2.06
-16.6,-78.5,2023-03,PER,1,2.18
-14.5,-79.1,2023-03,ECU,1,1.27
-9.9,-78.4,2023-01,GBR,1,4.66
-12,-78.5,2023-02,PER,2,2.56
-3.5,-81.5,2023-02,PER,1,5.2
-9.1,-78.6,2023-03,PER,24,144.3
-16,-78,2023-03,ECU,1,0.25
-12.3,-79.4,2023-02,PER,1,3
-8.5,-79.4,2023-02,PER,1,1.41
-8.5,-79.1,2023-03,PER,1,0.32
-15.2,-77.5,2023-02,PER,9,19.51
-10.3,-78.2,2023-01,NA,1,2.55
-13.9,-76.7,2023-03,ECU,1,0.06
-15.3,-75.5,2023-03,PER,1,7.69
-14.7,-77.1,2023-03,PER,7,13.65
-14.7,-77.4,2023-02,PER,18,30.4
-6.9,-81.4,2023-03,ECU,1,5.61
-11.2,-77.7,2023-01,PER,18,46.8
-9.6,-79.2,2023-01,PER,1,1
-15,-78.9,2023-02,PER,1,4.32
-13.5,-78.1,2023-03,PER,1,0.28
-10.1,-78.5,2023-02,PER,3,3.99
-7.5,-79.9,2023-01,AIA,1,0.44
-9.4,-78.7,2023-02,PER,8,17.37
-16.3,-78.3,2023-03,PER,1,4.81
-10,-78.3,2023-02,PER,13,37.76
-12.3,-78.8,2023-02,PER,1,1.39
-12,-77.2,2023-03,ESP,4,155.68
-11.6,-80.7,2023-02,PER,1,0.28
-8,-79.6,2023-02,PER,11,12.91
-9.8,-78.6,2023-02,PER,1,1.6
-14.2,-77.6,2023-02,PER,1,1.25
-9.1,-82.4,2023-03,PAN,1,2.36
-17.7,-71.4,2023-02,PER,2,3.47
-7.5,-79.9,2023-01,HND,1,2.95
-7.2,-80.1,2023-01,AIA,1,2.5
-17,-72.3,2023-02,PER,1,0.26
-10.6,-78,2023-03,PER,2,1.72
-17.6,-77.6,2023-03,NA,1,1.56
-10,-81,2023-01,NA,1,1.26
-15.5,-78.4,2023-03,PER,1,0.84
-16.2,-78.8,2023-03,ECU,1,0.35
-18.1,-71,2023-02,PER,2,1.08
-16.8,-76.9,2023-03,PER,4,18.04
-17.8,-77,2023-03,NA,1,1.86
-12,-77.2,2023-02,HND,1,0.08
-8.9,-82.6,2023-03,PAN,1,3.8
-10.3,-78.2,2023-03,PER,1,1.5
-4.1,-81.7,2023-02,PER,1,0.87
-12.7,-76.8,2023-01,NA,2,3.36
-8.1,-79.6,2023-01,PER,51,91.48
-8.9,-79.2,2023-01,PER,1,1.75
-13.7,-77.8,2023-01,PER,1,7.12
-9.1,-78.6,2023-01,NA,1,1.32
-10.9,-78.4,2023-02,PER,1,0.11
-7.2,-81.4,2023-03,ECU,1,0.29
-9.2,-81.6,2023-03,ECU,1,0.06
-13.2,-76.6,2023-01,PER,3,2.75
-9.7,-78.5,2023-01,HND,1,9.66
-8.3,-79.1,2023-01,PER,83,307.57
-10.1,-81,2023-02,NA,1,1.11
-8.5,-79.1,2023-01,NA,2,2.16
-16.9,-78.4,2023-03,ECU,3,22.87
-7.7,-79.7,2023-02,AIA,1,3.63
-13.2,-77.7,2023-02,PER,1,1.03
-9,-78.9,2023-01,PER,7,11.15
-15.7,-77.2,2023-02,PER,2,3.9
-9.1,-80,2023-03,PER,1,1.09
-9.3,-79,2023-01,PER,3,8.52
-7.9,-79.6,2023-02,HND,1,9.41
-14.7,-76,2023-01,PER,23,36.03
-11.9,-78,2023-03,PER,1,2.47
-13.4,-78.3,2023-02,PER,1,0.74
-15.9,-78.8,2023-02,PER,1,1.01
-10.3,-80.6,2023-02,PER,1,3.02
-9.2,-82.8,2023-02,NA,1,2.91
-10.6,-78,2023-01,NA,1,1.58
-12.5,-78.2,2023-02,PER,1,0.18
-16.8,-77.3,2023-03,PER,1,2.17
-9.7,-78.5,2023-01,AIA,1,3.22
-7.6,-80.7,2023-03,PER,1,2
-10.6,-78.2,2023-02,PER,2,2.69
-16.7,-77.8,2023-03,ECU,1,0.39
-9.3,-80.5,2023-03,PER,1,0.44
-10,-78.5,2023-01,PER,1,0.83
-13.7,-76.4,2023-01,PER,4,3.41
-12.2,-77.2,2023-01,SSD,1,12.83
-5.8,-81.6,2023-01,ECU,1,1.48
-16.8,-77.2,2023-03,ECU,1,2.84
-15,-77.3,2023-02,PER,9,15.02
-17.9,-71.4,2023-02,PER,1,0.64
-7.2,-80.3,2023-01,PER,8,18.82
-9.2,-82.4,2023-03,PAN,1,0.49
-13.4,-76.5,2023-01,PER,25,41.36
-14.1,-77.6,2023-02,PER,1,0.78
-6.5,-80.7,2023-01,PER,27,53.48
-7.9,-83.1,2023-03,ECU,1,0.38
-11.5,-77.6,2023-01,SSD,1,0.91
-15.1,-78.1,2023-02,ECU,1,3.87
-14.9,-77.2,2023-02,PER,11,33.55
-12.7,-79.4,2023-03,PER,1,0.07
-17.8,-71.4,2023-02,NA,1,0.82
-11.4,-77.9,2023-01,PER,1,0.11
-13,-76.9,2023-03,PER,1,1.93
-13,-76.6,2023-02,PER,1,0.36
-16.1,-77.2,2023-03,PER,3,14.92
-15.7,-77.3,2023-02,ECU,1,1.02
-12.2,-78.3,2023-02,PER,1,0.21
-8.5,-79.7,2023-01,HND,1,0.57
-9.3,-78.7,2023-01,HND,1,4.17
-14,-76.5,2023-03,PER,2,0.94
-5.7,-81.3,2023-01,PER,5,4.85
-12.8,-77.6,2023-02,PER,3,5.88
-15.6,-77.8,2023-02,NA,1,3.29
-7.3,-80.1,2023-03,PER,1,0.91
-14.4,-76.9,2023-01,PER,6,32.08
-6.3,-81.8,2023-03,PER,1,3
-9.2,-79.3,2023-02,PER,1,2.01
-14.1,-76.5,2023-02,NA,1,2.35
-14.6,-77.4,2023-02,PER,7,18.34
-6.9,-83.4,2023-03,ECU,1,0.2
-12.1,-77.6,2023-03,PER,2,3.31
-14.8,-77.3,2023-02,GBR,1,5.28
-6.4,-80.9,2023-03,PER,1,0.22
-7.8,-79.7,2023-02,NA,3,11.7
-12.6,-76.8,2023-03,PER,1,2.23
-10.2,-78.5,2023-02,PER,2,2.66
-16,-78.5,2023-03,NA,1,3.16
-9.7,-80.3,2023-01,PER,1,4.17
-14.5,-76.2,2023-01,NA,2,3.98
-13.3,-76.4,2023-02,NA,1,3.72
-7.3,-83.5,2023-03,ECU,1,1.27
-11.1,-77.7,2023-01,PER,19,37.87
-15,-76.9,2023-02,PER,1,1.01
-12.8,-76.7,2023-01,PER,10,11.16
-17.6,-71.5,2023-01,PER,1,4.91
-9.2,-78.9,2023-02,PER,1,1.42
-12.5,-76.9,2023-01,SSD,1,1.46
-14.8,-77.9,2023-02,PER,1,1.85
-12.3,-77.4,2023-02,PER,1,1.24
-12.3,-77.1,2023-03,PER,1,9.91
-3.5,-81.2,2023-01,ECU,1,5.03
-12.8,-77,2023-01,SSD,1,1.7
-12.9,-77.8,2023-01,PER,1,0.23
-9.3,-78.7,2023-01,AIA,1,2.03
-16.3,-77.9,2023-03,PER,3,16.67
-7.8,-79.5,2023-01,PER,5,2.16
-15.3,-79.3,2023-03,ECU,1,0.09
-15.4,-76.7,2023-03,NA,1,1.85
-15.1,-77.5,2023-02,PER,3,5.38
-3.9,-82,2023-02,PER,1,0.57
-9.4,-82.4,2023-02,PER,1,1.16
-14.1,-76.7,2023-01,PER,2,0.55
-6.5,-81.6,2023-02,PER,1,0.98
-16.6,-78.2,2023-03,PER,1,1.21
-6.9,-80.3,2023-01,PER,44,101.05
-9.7,-78.4,2023-01,NA,2,5.5
-16.5,-76.6,2023-03,PER,1,12.63
-12,-77.9,2023-01,PER,1,0.52
-6.7,-80.6,2023-03,PER,1,3.62
-14,-76.5,2023-01,NA,1,0.86
-14.5,-77.4,2023-01,PER,1,1.02
-9.6,-78.5,2023-01,AIA,1,5.99
-17.5,-77.8,2023-03,PER,2,10.13
-10.9,-77.8,2023-02,PER,2,1.79
-5.7,-81.5,2023-02,PER,1,1.39
-12.4,-77.5,2023-03,PER,2,14.2
-14.9,-77,2023-03,PER,1,1.13
-16.4,-76.7,2023-03,PER,1,2.12
-14.6,-76,2023-01,PER,3,1.9
-11.8,-77.5,2023-01,PER,24,66.53
-6.8,-80.8,2023-01,PER,19,24.39
-11.9,-77.3,2023-01,SSD,1,3.68
-15.9,-76,2023-03,NA,1,2.03
-13.1,-77.7,2023-02,PER,1,0.98
-7,-80.6,2023-01,PER,14,35.63
-15.6,-77.2,2023-02,PER,6,7.11
-13.9,-77.4,2023-03,PER,1,0.7
-15.4,-77.6,2023-02,PER,16,52.58
-7.3,-80,2023-01,GBR,1,2.25
-13.8,-76.9,2023-01,PER,6,15.05
-8.7,-79.4,2023-01,PER,1,0.28
-10.7,-78,2023-01,NA,2,3.55
-6,-81.3,2023-01,PER,24,55.13
-13.5,-77,2023-01,PER,1,0.74
-13,-76.9,2023-01,NA,1,1.07
-12.5,-77.1,2023-01,PER,23,35.18
-15.3,-77.2,2023-03,PER,3,3.03
-7.2,-83.4,2023-03,ECU,1,0.16
-8.3,-79.3,2023-01,AIA,1,2.46
-12.3,-77.1,2023-01,NA,6,22.87
-14.4,-77.5,2023-02,PER,3,3.62
-12.9,-77,2023-02,PER,15,40.1
-14.5,-76.8,2023-01,PER,2,4.34
-17.8,-77.5,2023-03,ECU,1,0.17
-13.1,-76.6,2023-01,PER,1,1.22
-9.6,-78.5,2023-01,HND,1,0.08
-7.5,-79.8,2023-02,NA,1,2.45
-13.4,-77.9,2023-02,PER,1,1.6
-7.7,-79.4,2023-01,PER,18,35.18
-7.9,-79.8,2023-02,PER,17,30.32
-10.2,-78.3,2023-01,PER,34,89.83
-11.9,-77.4,2023-02,NA,1,2.24
-11.5,-77.8,2023-01,PER,2,10.31
-14.5,-76.2,2023-03,PER,1,0.34
-8.2,-79.6,2023-01,PER,6,14.96
-12.6,-76.8,2023-01,NA,1,2.46
-16.8,-77.1,2023-03,ECU,2,11.29
-5.9,-81.3,2023-01,PER,6,18.36
-14.9,-77.1,2023-02,PER,2,2.8
-12.4,-77.6,2023-02,PER,1,0.99
-15.1,-78.2,2023-02,ECU,1,6.38
-7.3,-79.7,2023-01,PER,15,14.96
-14.1,-77.7,2023-02,PER,4,6.88
-14.4,-76.5,2023-03,NA,1,7.23
-14.9,-77.4,2023-03,PER,5,9.16
-11.6,-77.4,2023-01,PER,32,88.61
-13,-76.7,2023-02,PER,4,2.79
-9.3,-82.6,2023-02,PER,1,1.83
-9.2,-79.9,2023-01,PER,1,0.37
-6.3,-81.1,2023-01,PER,12,27.25
-14.8,-76.9,2023-01,PER,2,8.86
-12,-77.5,2023-01,PER,12,13.42
-8.5,-79.6,2023-01,HND,1,2.56
-14.5,-77,2023-01,PER,1,3.07
-6.7,-80.5,2023-02,PER,3,2.19
-6.7,-80.7,2023-01,NA,1,0.88
-8.7,-79,2023-01,PER,5,6.16
-7.4,-80.3,2023-01,PER,1,1.81
-13.8,-76.5,2023-01,PER,47,98.3
-13.5,-77.4,2023-01,PER,1,0.6
-14.3,-77.2,2023-02,PER,2,6.81
-11.8,-77.9,2023-01,PER,2,1.94
-11.7,-80.6,2023-02,PER,1,1.33
-12.6,-77,2023-01,NA,7,18.01
-9.2,-80.4,2023-03,PER,3,6.1
-18.2,-70.9,2023-02,PER,1,0.06
-9.8,-78.4,2023-01,AIA,1,3.12
-11.2,-77.8,2023-01,AIA,1,4.15
-15.4,-78.1,2023-03,ECU,1,5.01
-14.4,-77.9,2023-02,PER,1,1.7
-16.7,-78,2023-03,ECU,1,3.96
-12.4,-77,2023-01,SSD,1,0.91
-16.5,-73.4,2023-02,NA,1,0.82
-7.8,-79.6,2023-02,NA,1,0.08
-8,-79.4,2023-01,HND,1,5.53
-14.5,-76.1,2023-01,NA,1,5.35
-17.1,-77.9,2023-03,PER,1,0.37
-13.2,-77,2023-01,HND,1,1.02
-11.9,-77.2,2023-01,PER,3,1.47
-13.5,-76.2,2023-03,PER,4,2.19
-9.2,-78.7,2023-03,PER,1,1.79
-12.3,-77.2,2023-03,PER,2,9.33
-17.6,-71.6,2023-02,NA,1,3.32
-12.1,-77.3,2023-01,PER,32,81.67
-9.8,-78.4,2023-01,HND,1,7.3
-6.8,-81,2023-01,PER,7,12.68
-15.4,-76.6,2023-03,NA,1,1.49
-11.9,-77.8,2023-03,PER,1,3.19
-13.5,-76.8,2023-01,PER,10,16.81
-9.3,-78.6,2023-01,AIA,1,0.37
-6.5,-81.7,2023-02,PER,2,5
-14.1,-76.6,2023-01,PER,11,11.99
-8.2,-79.3,2023-01,NA,3,10.52
-16.8,-78.5,2023-03,PER,3,9.01
-16.5,-76.7,2023-03,PER,4,31.78
-15.5,-76,2023-03,PER,1,2.39
-10.3,-78.7,2023-01,HND,1,0.2
-16.6,-78.1,2023-03,PER,1,2.51
-15.8,-77.9,2023-03,PER,1,7.16
-13.3,-77.4,2023-03,PER,1,1.06
-10.7,-78.1,2023-02,PER,2,2.81
-6.8,-80.4,2023-02,PER,1,2.16
-6,-81.9,2023-02,PER,1,1.72
-13.4,-76.9,2023-01,PER,2,1.43
-10.2,-79.3,2023-02,PER,1,0.87
-16.3,-78.4,2023-02,ECU,2,9.61
-15.3,-76.8,2023-02,PER,1,0.99
-16.3,-78.1,2023-03,ECU,1,4
-6.7,-80.3,2023-01,PER,19,23.59
-14.5,-77.8,2023-02,PER,17,59.83
-12,-77.3,2023-02,PER,9,7.76
-16.4,-76.6,2023-03,PER,1,0.16
-12.8,-76.8,2023-01,SSD,1,4.75
-15.4,-77.7,2023-02,PER,19,75.56
-17.9,-71.2,2023-01,NA,1,0.18
-7.4,-79.8,2023-01,NA,1,0.58
-7,-80.7,2023-01,PER,2,4.85
-14,-76.6,2023-02,PER,1,0.34
-10.6,-81.3,2023-02,PAN,1,0.11
-17.3,-77.8,2023-03,NA,1,1.48
-8.9,-78.9,2023-01,AIA,1,0.16
-5.9,-81.5,2023-02,PER,1,0.48
-15.3,-77.1,2023-03,PER,9,20.71
-13.8,-77.9,2023-02,PER,1,0.95
-15.3,-77.4,2023-02,PER,1,2.23
-12.5,-77.2,2023-01,PER,1,0.37
-7.8,-80.1,2023-02,PER,1,1.06
-7.9,-79.4,2023-01,PER,19,21.45
-14,-77.7,2023-01,PER,1,2.87
-7.7,-79.8,2023-02,PER,22,30.74
-12.3,-77.2,2023-01,NA,7,18.44
-9.2,-78.7,2023-01,NA,3,14.13
-15.5,-77.4,2023-02,NA,1,1.48
-12.1,-77.5,2023-02,PER,2,5.98
-12.2,-79.5,2023-02,PER,1,3.23
-14.1,-76.6,2023-03,NA,1,7.26
-11.5,-77.4,2023-02,PER,1,0.07
-8.2,-80.2,2023-03,PER,1,3.05
-5.2,-81.7,2023-02,PER,1,1.79
-14.8,-77.3,2023-03,NA,1,1
-13.6,-77.4,2023-02,PER,1,1.2
-13.4,-77.7,2023-03,PER,1,0.21
-15.1,-77.9,2023-02,PER,1,4.25
-7.8,-79.9,2023-01,PER,10,13.93
-14,-77.3,2023-03,PER,6,10.92
-14.8,-77.5,2023-02,PER,7,15.29
-14.6,-79.3,2023-03,ECU,1,6.63
-13.5,-76.2,2023-01,NA,3,13.45
-15.8,-78,2023-02,ECU,1,0.2
-15.2,-75.4,2023-03,PER,1,1.66
-15.6,-76.8,2023-03,PER,1,1.48
-8.2,-79.7,2023-01,PER,4,4.08
-16.6,-77.5,2023-03,ECU,1,0.18
-6.6,-80.9,2023-01,NA,1,2.58
-9.3,-78.8,2023-01,PER,3,1.96
-7.1,-79.8,2023-02,PER,1,0.56
-12.2,-77.3,2023-01,PER,33,64.19
-6.7,-81.4,2023-03,ECU,1,1
-9.9,-78.4,2023-02,PER,11,12
-9.1,-78.7,2023-03,PER,1,0.63
-8.1,-79.3,2023-01,NA,3,37.55
-9.2,-83,2023-02,NA,1,2.08
-10.5,-78.1,2023-01,PER,9,13.1
-16.9,-78,2023-03,ECU,2,5.88
-12.2,-77.7,2023-03,PER,1,1.71
-11.1,-77.8,2023-01,AIA,1,6.87
-13.5,-78.2,2023-03,PER,1,1.81
-10.9,-78,2023-02,PER,1,0.72
-9.4,-78.6,2023-02,PER,5,4.49
-8.6,-79,2023-01,PER,3,2.77
-8.3,-81.6,2023-02,NA,1,5.44
-8.8,-80,2023-03,PER,1,2.85
-16.9,-77.6,2023-03,PER,1,1.77
-9.1,-80.4,2023-03,PER,3,6.99
-12.7,-77,2023-01,NA,3,5.48
-8,-79.7,2023-02,PER,23,31.2
-14.2,-77.7,2023-02,PER,5,13.32
-8,-79.5,2023-01,NA,3,1.26
-16.5,-74,2023-03,PER,1,0.93
-11.1,-77.8,2023-01,HND,1,4.8
-11.7,-77.4,2023-01,PER,36,129.02
-8.5,-79,2023-02,PER,1,0.07
-15.2,-77.9,2023-02,PER,3,11.44
-13.7,-77.1,2023-03,PER,1,1.35
-14.5,-78.1,2023-03,PER,1,0.16
-8.1,-79.7,2023-01,PER,16,14.13
-8.1,-79.6,2023-02,GBR,1,1.28
-13.1,-78.3,2023-03,PER,2,1.18
-7.9,-79.7,2023-02,AIA,1,0.4
-9.1,-78.7,2023-01,NA,1,3
-8.1,-79.5,2023-02,NA,3,1.22
-6.1,-83.1,2023-02,ECU,1,1.37
-6.6,-80.9,2023-03,PER,1,3.49
-15.5,-77.5,2023-02,AIA,1,0.76
-7.6,-81.5,2023-03,NA,1,1.91
-10.1,-78.6,2023-03,PER,1,1.02
-8.3,-79.2,2023-01,PER,71,126.95
-8.1,-79.3,2023-03,PER,1,1.24
-16.8,-72.8,2023-01,PER,1,0.69
-7.7,-79.6,2023-02,AIA,1,0.31
-8.5,-79.2,2023-01,NA,1,0.24
-12.2,-77.5,2023-02,PER,1,1.79
-15.7,-77.1,2023-02,PER,2,1.68
-8,-79.5,2023-03,PER,1,0.23
-12.9,-78,2023-01,PER,1,0.33
-3.8,-82.6,2023-02,PER,1,4.48
-14.5,-77.6,2023-02,AIA,1,2.31
-12.8,-79.5,2023-03,PER,1,2.05
-9.8,-81,2023-01,PER,1,3.31
-8.8,-79.3,2023-02,PER,1,0.23
-3.9,-81.8,2023-02,PER,1,1.03
-10.3,-80.7,2023-02,PER,1,4.22
-12.5,-78.1,2023-02,PER,1,1.1
-8.8,-80.2,2023-02,PER,1,1.57
-6.3,-81.6,2023-03,ECU,1,1
-10.6,-78.1,2023-02,PER,4,5.78
-6.8,-82.1,2023-03,PER,1,2.01
-17.3,-77.3,2023-03,ECU,1,0.15
-5,-82.5,2023-02,PER,1,1.38
-9.9,-79,2023-01,PER,1,0.11
-11.3,-78,2023-03,PER,2,3.22
-12.7,-77,2023-03,PER,1,1.26
-8.2,-79.4,2023-02,HND,1,4.76
-10.1,-79.3,2023-02,PER,1,1
-12.2,-77.1,2023-01,SSD,1,0.26
-15.5,-77.5,2023-02,HND,1,0.14
-16.8,-78.2,2023-03,PER,3,38.2
-7.7,-79.6,2023-02,GBR,1,1.55
-7.7,-79.7,2023-01,PER,64,219.1
-14.9,-78.2,2023-02,ECU,1,0.99
-15.1,-77.1,2023-02,PER,2,1.73
-13.6,-77.6,2023-02,PER,1,0.04
-16.4,-77.8,2023-03,PER,3,26.69
-15.5,-79.1,2023-02,ECU,1,4.3
-14.5,-76.9,2023-03,PER,7,30.91
-6.7,-81.1,2023-01,PER,1,0.12
-14.8,-77,2023-03,PER,3,7.14
-12.3,-77.5,2023-03,PER,1,2.39
-7.9,-79.7,2023-02,GBR,1,2
-11.9,-77.5,2023-01,PER,13,15.8
-8.1,-79.6,2023-02,AIA,1,0.46
-15.5,-77.6,2023-02,NA,1,0.55
-7.9,-79.6,2023-01,PER,79,269.1
-7.7,-80.2,2023-03,PER,1,3.79
-15.3,-77.6,2023-02,PER,17,65.77
-6.1,-81.6,2023-03,ECU,1,1.98
-12.6,-77.1,2023-01,SSD,1,1.27
-11.5,-77.6,2023-02,PER,1,1.21
-13.9,-76.9,2023-01,PER,1,2.27
-8.2,-79.8,2023-02,PER,1,0.19
-15.6,-78,2023-03,ECU,1,1.19
-14.6,-77.5,2023-03,PER,7,7.49
-15.6,-77.9,2023-02,PER,2,0.33
-15.4,-77.2,2023-03,PER,3,6.2
-8.4,-79.3,2023-01,AIA,1,0.41
-12,-77.8,2023-03,PER,2,4.53
-7.5,-81,2023-03,PER,1,5.2
-12.4,-77.1,2023-01,NA,4,6.01
-5.5,-81.8,2023-02,PER,1,0.69
-12.8,-77,2023-02,PER,10,23.84
-6.6,-81.5,2023-03,ECU,1,1.41
-14.3,-77.5,2023-02,PER,5,11.89
-7.8,-83,2023-03,ECU,1,0.39
-18,-71,2023-01,NA,2,35.81
-9.7,-78.5,2023-02,PER,20,30.29
-12.5,-76.9,2023-02,PER,20,30.52
-14.5,-77.5,2023-02,NA,1,2.04
-17.8,-71.3,2023-02,PER,5,4.7
-13.3,-77.9,2023-02,PER,1,0.96
-12,-77.2,2023-01,PER,36,207.37
-6.2,-81,2023-01,PER,22,42.95
-17.9,-71.3,2023-02,NA,2,1.54
-13.9,-77.3,2023-01,PER,1,1.92
-14.5,-77.6,2023-02,GBR,1,4.17
-15,-77.4,2023-02,NA,1,4.14
-18,-71.2,2023-02,PER,2,3.24
-12.6,-77.5,2023-02,PER,1,0.98
-13.6,-76.7,2023-01,PER,5,6
-13.4,-76.3,2023-01,SSD,1,4.67
-16.6,-77.2,2023-03,ECU,3,12.45
-14,-77.2,2023-02,NA,1,1.98
-13.3,-76.5,2023-01,PER,20,57.06
-15.8,-78.7,2023-02,ECU,1,1.56
-16.7,-76.8,2023-03,PER,2,20.62
-13.5,-76.5,2023-01,NA,3,9.69
-5,-81.1,2023-01,PER,1,0.88
-17.6,-71.4,2023-02,NA,1,10.51
-7.5,-79.9,2023-02,PER,17,23.41
-14.8,-77.2,2023-02,PER,4,10.77
-11.3,-77.9,2023-01,PER,16,27.56
-12.6,-76.9,2023-01,PER,61,201.11
-16.3,-77.2,2023-03,PER,1,3
-11.9,-77.3,2023-02,PER,1,0.31
-10.2,-81.9,2023-03,NA,1,1.1
-3.4,-81.2,2023-02,ECU,2,4.03
-12.9,-77.6,2023-02,PER,2,3.53
-14.4,-77.1,2023-02,PER,3,4.48
-17.2,-71.9,2023-02,NA,1,5.76
-14.4,-77.4,2023-03,PER,1,0.45
-12.1,-77.2,2023-02,PER,1,49.18
-12.9,-77.9,2023-03,PER,1,0.28
-14.6,-77.7,2023-02,PER,5,12.69
-14.3,-76.9,2023-01,PER,3,18.43
-8.2,-79.2,2023-02,NA,3,3.35
-14,-77,2023-01,PER,1,0.23
-9.1,-78.9,2023-01,AIA,1,0.31
-5.4,-82.7,2023-02,ECU,1,0.06
-15,-77.2,2023-02,GBR,1,1.83
-12.6,-77.3,2023-01,PER,2,3.99
-7,-80,2023-01,PER,65,269.92
-13,-76.8,2023-01,PER,25,39.26
-13.4,-76.4,2023-02,NA,1,1.66
-8.7,-79.3,2023-01,NA,1,0.32
-9.2,-80.6,2023-03,PER,2,3.71
-12.9,-76.7,2023-01,PER,47,286.49
-7.2,-79.9,2023-01,PER,43,90.58
-14.1,-77.2,2023-03,PER,2,2.63
-12.4,-77.4,2023-02,PER,1,0.77
-14.9,-77.9,2023-02,PER,1,0.7
-14.9,-77.6,2023-03,PER,1,1.49
-12.4,-77.1,2023-03,PER,2,6.69
-14.4,-76.8,2023-03,PER,1,1.39
-5.5,-81,2023-01,PER,1,0.91
-9.4,-78.7,2023-01,AIA,1,1.97
-15.3,-76.7,2023-03,NA,1,2.33
-13.6,-76.3,2023-01,NA,1,2.27
-11.6,-77.6,2023-01,PER,7,3.46
-9.3,-82.4,2023-02,PER,1,8.47
-8.4,-79.5,2023-02,AIA,1,1.41
-15.5,-76.7,2023-03,PER,1,3.97
-16.6,-76.9,2023-03,PER,2,19.46
-11.5,-78.3,2023-03,PER,1,1.08
-17.1,-78.2,2023-02,NA,1,1.86
-17,-76.9,2023-03,NA,1,0.2
-9.5,-79.6,2023-03,PER,1,0.23
-8.4,-80.6,2023-03,PER,1,3.25
-8.8,-79.2,2023-01,PER,1,0.94
-13.7,-76.7,2023-01,PER,8,7.82
-4.1,-82.5,2023-03,ECU,1,2.56
-5.4,-82.8,2023-02,PER,1,1.08
-12.7,-77.5,2023-02,PER,3,5.44
-12.4,-76.8,2023-02,USA,1,20.26
-7.6,-79.9,2023-01,PER,37,90.65
-16.3,-78.4,2023-03,NA,1,3.29
-5.1,-81.1,2023-02,PER,1,19.47
-8.4,-79.1,2023-01,PER,69,199.77
-17,-78.4,2023-03,ECU,2,11.9
-15.6,-75.4,2023-03,PER,1,0.8
-11.1,-78,2023-02,PER,1,0.55
-9.6,-78.5,2023-02,PER,5,10.1
-6.6,-80.4,2023-02,PER,1,0.28
-16,-76.1,2023-03,NA,1,4
-3.7,-83.9,2023-03,ECU,1,0.15
-8.2,-79.6,2023-02,AIA,1,3.09
-14.7,-77.5,2023-03,PER,4,6.78
-12.2,-77,2023-03,PER,1,4.61
-15.8,-78.8,2023-02,PER,1,1.09
-13.3,-78.3,2023-02,PER,1,2.94
-5.6,-81,2023-02,PER,1,2.71
-15.7,-78,2023-03,ECU,1,2
-10.4,-80.6,2023-02,PER,1,4.34
-16.6,-77.3,2023-03,PER,1,7.02
-8.9,-80.4,2023-03,PER,4,4.78
-15.2,-77.1,2023-02,PER,2,2.76
-4.6,-82.6,2023-03,ECU,1,5.66
-17.4,-71.6,2023-01,PER,1,0.6
-10,-79,2023-03,PER,1,0.42
-3.5,-81.1,2023-02,PER,1,3.53
-17.5,-71.5,2023-02,NA,3,24.68
-8.1,-79.4,2023-02,GBR,1,0.03
-7.1,-80,2023-02,PER,4,0.85
-17.2,-72.1,2023-02,PER,3,7.72
-8.9,-79.9,2023-01,PER,1,2.7
-12,-78.4,2023-03,PER,1,0.1
-13.6,-77.8,2023-02,AIA,1,8.02
-5,-81.6,2023-03,ECU,1,2.09
-16.8,-72.7,2023-02,PER,1,1.71
-9.8,-78.4,2023-01,GBR,1,4.43
-12.4,-79.1,2023-03,PER,1,9.05
-14.2,-77.2,2023-03,PER,3,4.36
-12.4,-79.4,2023-02,PER,1,1.54
-9.3,-80.1,2023-03,PER,7,19.94
-15.5,-78.7,2023-03,PER,1,0.68
-11.7,-77.6,2023-01,PER,4,6.98
-4.7,-82.8,2023-02,PER,1,3.15
-11.5,-81,2023-02,PER,1,7.36
-8,-79.8,2023-01,PER,2,0.66
-6.6,-81,2023-01,PER,15,23.72
-10.4,-78.2,2023-01,NA,1,2.63
-9,-78.8,2023-01,NA,1,0.32
-11.1,-78.2,2023-03,PER,1,1.58
-9.1,-80.6,2023-03,PER,1,0.91
-9.9,-80.2,2023-03,PER,1,0.06
-15.4,-79,2023-02,PER,1,0.22
-17.7,-71.5,2023-01,NA,2,11.88
-8,-79.4,2023-01,GBR,1,12.58
-14.7,-77.7,2023-02,PER,6,5.88
-5.1,-82.7,2023-03,ECU,1,0.19
-9.3,-78.7,2023-02,PER,3,7.1
-8.3,-79.5,2023-01,PER,2,0.88
-17.3,-71.9,2023-02,PER,2,3.22
-8.3,-82.3,2023-02,ECU,1,0.19
-17,-77.7,2023-03,PER,1,18.36
-8.1,-79.2,2023-02,NA,2,11.64
-3.6,-81.8,2023-02,PER,2,3.39
-15.1,-75.6,2023-01,NA,2,2.32
-16.8,-78.3,2023-03,ECU,4,3.17
-16.8,-76.8,2023-03,NA,1,6.01
-9.5,-78.5,2023-01,PER,27,38.19
-13,-76.6,2023-01,HND,1,0.74
-11,-78,2023-01,PER,1,1.09
-9.6,-80.4,2023-03,PER,1,1.85
-12.7,-76.9,2023-01,PER,44,102.18
-10.3,-78.2,2023-02,PER,30,49.29
-15.2,-77.7,2023-02,PER,17,31.4
-17.1,-77.8,2023-03,ECU,1,4.21
