lat,lon,time range,flag,vessel ids,apparent fishing hours
-15.4,-77.2,2023-02,PER,11,40.71
-14.6,-78.1,2023-02,ECU,1,6.28
-10.9,-77.9,2023-01,PER,35,63.46
-14,-76.4,2023-03,PER,2,3.73
-4,-83.6,2023-03,ECU,1,1.75
-12.3,-77.1,2023-01,SSD,1,3.7
-9.7,-78.5,2023-03,PER,1,0.15
-15.1,-76.8,2023-02,PER,2,3.5
-10.4,-78.2,2023-02,PER,17,26.28
-17.1,-78.2,2023-03,NA,1,0.67
-13,-78,2023-03,PER,1,0.34
-12.7,-76.8,2023-01,SSD,1,2.17
-11.5,-78.3,2023-02,PER,1,2.67
-17.7,-71.5,2023-02,PER,10,19.3
-8.4,-80.6,2023-02,PER,1,5.75
-9.1,-82.5,2023-03,PAN,1,0.44
-7.1,-80.1,2023-01,GBR,1,1.45
-16.5,-77.9,2023-03,ECU,1,1.4
-9.9,-78.9,2023-02,PER,1,1.91
-11.4,-78.1,2023-03,PER,1,0.64
-3.8,-81.3,2023-01,ECU,1,3.11
-13.3,-77,2023-01,HND,1,3.18
-13,-76.9,2023-01,HND,1,1.3
-15.7,-76.7,2023-03,NA,1,0.53
-9.1,-78.8,2023-01,PER,31,106.14
-9.7,-78.4,2023-01,HND,1,0.99
-12.2,-77.2,2023-03,PER,2,3.4
-14.9,-77.8,2023-02,HND,1,5.08
-16.9,-78.5,2023-03,ECU,1,1.39
-6.1,-81.4,2023-01,PER,9,20.48
-11.3,-80.4,2023-02,PER,1,6.31
-17.5,-71.5,2023-01,PER,1,0.74
-12.4,-78.8,2023-03,PER,3,2.52
-8.5,-79.3,2023-01,PER,1,1.89
-7.1,-80.7,2023-03,PER,1,0.08
-16.7,-78.3,2023-03,PER,2,11.97
-12.3,-79.2,2023-02,PER,1,3.19
-9.1,-78.7,2023-02,PER,2,0.63
-16.5,-77.1,2023-03,ECU,1,1.22
-8.1,-79.5,2023-01,PER,45,74.05
-8.5,-79.1,2023-01,GBR,1,1.51
-8.9,-80.9,2023-01,NA,1,1.61
-8.9,-82.5,2023-03,PAN,1,0.94
-14.2,-76.9,2023-01,PER,1,3.62
-11.9,-80.7,2023-02,PER,1,0.03
-10.5,-78.4,2023-01,PER,2,0.38
-12.2,-77.7,2023-02,PER,1,0.98
-12.9,-79.4,2023-03,PER,3,3.61
-14.7,-77.2,2023-02,PER,1,0.11
-8.5,-79,2023-01,NA,1,0.25
-13.2,-76.5,2023-01,PER,17,37.03
-8.3,-79,2023-01,PER,11,18.04
-7.1,-80.3,2023-01,PER,10,16.05
-10.9,-78,2023-03,PER,1,0.75
-15.9,-77.3,2023-02,ECU,1,0.99
-12.4,-78.3,2023-02,PER,1,1.32
-7.5,-79.7,2023-01,AIA,1,1.46
