lat,lon,time range,flag,geartype,vessel ids,apparent fishing hours
-13.1,-77.7,2023-02,PER,other_purse_seines,1,0.98
-7,-80.1,2023-01,PER,tuna_purse_seines,5,15.8
-14.9,-77.7,2023-02,HND,other_purse_seines,1,3.85
-15.5,-77.4,2023-02,PER,tuna_purse_seines,1,1.48
-7.5,-79.7,2023-02,PER,purse_seines,1,2.41
-6.8,-80.2,2023-02,PER,other_purse_seines,3,7.92
-6.8,-80.9,2023-01,PER,tuna_purse_seines,1,1.72
-7.8,-79.8,2023-01,HND,other_purse_seines,1,3.59
-15.4,-77.5,2023-02,GBR,other_purse_seines,1,4
-12,-77.2,2023-01,PER,fishing,2,5.01
-15.6,-76,2023-03,PER,other_purse_seines,1,6.88
-14.1,-77,2023-03,AIA,purse_seines,1,1.08
-15.3,-78.2,2023-02,ECU,tuna_purse_seines,1,4.98
-8.3,-79.3,2023-01,PER,other_purse_seines,25,27.71
-15.3,-76.7,2023-02,PER,other_purse_seines,9,14.69
-7.5,-80.2,2023-01,PER,other_purse_seines,1,0.01
-10.8,-77.9,2023-01,PER,purse_seines,3,9.03
-9.1,-78.7,2023-03,PER,other_purse_seines,1,0.63
-13,-77.8,2023-02,PER,set_gillnets,1,2.64
-8,-79.3,2023-01,PER,fishing,2,1.66
-7.3,-79.7,2023-03,PER,other_purse_seines,1,0.56
-9.2,-78.9,2023-01,PER,other_purse_seines,3,2.13
-12.9,-77.9,2023-02,PER,fishing,1,2.81
-16.2,-78.3,2023-02,ECU,tuna_purse_seines,1,1.22
-11.9,-77.4,2023-01,PER,other_purse_seines,28,73.06
-14.1,-77,2023-03,PER,other_purse_seines,1,2.13
-16.2,-77.9,2023-02,ECU,tuna_purse_seines,1,2.61
-9.8,-78.3,2023-01,PER,other_purse_seines,7,6.21
-14.8,-77.7,2023-02,PER,other_purse_seines,8,14.54
-14.3,-77.2,2023-02,PER,pole_and_line,1,4.76
-6.6,-80.4,2023-01,PER,tuna_purse_seines,1,1.44
-16.1,-74.9,2023-03,PER,other_purse_seines,1,3.07
-6.6,-80.8,2023-01,PER,purse_seines,5,16.45
-17.4,-71.5,2023-02,PER,other_purse_seines,2,1.78
-14.5,-78.9,2023-03,ECU,tuna_purse_seines,1,0.42
-9.2,-81.6,2023-03,ECU,tuna_purse_seines,1,0.06
-14.8,-77.1,2023-03,AIA,purse_seines,1,1.77
-10.3,-78.4,2023-01,PER,other_purse_seines,1,0.52
-14.4,-77.2,2023-02,NA,pole_and_line,1,0.58
-6.6,-80.4,2023-01,PER,purse_seines,3,4.96
-4.7,-81.5,2023-02,PER,other_purse_seines,1,1.75
-8.1,-79.4,2023-01,PER,other_purse_seines,61,209.77
-17.9,-71.3,2023-01,PER,other_purse_seines,1,8.77
-14.3,-77.5,2023-01,PER,set_gillnets,1,0.89
-6.1,-81.3,2023-01,PER,purse_seines,1,0.39
-6.9,-80.8,2023-01,PER,tuna_purse_seines,1,0.11
-14.2,-77.2,2023-01,PER,set_gillnets,1,0.16
-15.2,-76,2023-03,PER,other_purse_seines,1,3.99
-16.5,-76.7,2023-03,PER,fishing,1,9.96
-12.6,-76.8,2023-02,NA,other_purse_seines,1,1.56
-12.2,-79.5,2023-02,PER,tuna_purse_seines,1,3.23
-6.7,-80.7,2023-01,PER,purse_seines,4,9.15
-14.5,-76.9,2023-03,PER,other_purse_seines,5,19.26
-10.7,-77.9,2023-01,PER,other_purse_seines,15,39.15
-9.4,-78.6,2023-02,PER,other_purse_seines,5,4.49
-16.1,-77.8,2023-02,ECU,tuna_purse_seines,1,5
-9.1,-79.1,2023-02,PER,other_purse_seines,1,5.22
-15.3,-77.1,2023-03,PER,other_purse_seines,9,20.71
-7.6,-79.8,2023-01,HND,other_purse_seines,1,0.74
-6.6,-80.9,2023-01,PER,tuna_purse_seines,7,14.33
-17,-72.3,2023-02,PER,fishing,1,0.26
-5,-81.8,2023-02,PER,other_purse_seines,1,2.97
-15.4,-77.4,2023-02,AIA,purse_seines,1,1.43
-6.9,-80.3,2023-01,PER,fishing,1,2.83
-6.9,-80.3,2023-01,PER,tuna_purse_seines,5,16.1
-7.9,-79.4,2023-01,HND,other_purse_seines,1,0.49
-12,-80.9,2023-02,ECU,tuna_purse_seines,1,2
-14.3,-77.2,2023-02,NA,pole_and_line,1,9.11
-12.7,-76.9,2023-01,PER,inconclusive,1,4.45
-14.6,-77.5,2023-02,PER,tuna_purse_seines,1,2.02
-17.3,-71.8,2023-01,NA,other_purse_seines,2,0.73
-12.2,-78.5,2023-02,PER,pole_and_line,1,1.1
-7.1,-79.9,2023-01,PER,pole_and_line,1,4.39
-10.3,-81.6,2023-03,ECU,tuna_purse_seines,1,0.06
-10.4,-79,2023-02,PER,other_purse_seines,1,0.1
-12.9,-77.7,2023-02,PER,other_purse_seines,2,2.2
-10.1,-78.5,2023-02,PER,other_purse_seines,2,3.21
-14.8,-77.2,2023-02,PER,other_purse_seines,2,5.88
-12.9,-76.6,2023-02,NA,other_purse_seines,1,0.07
-8.3,-79.5,2023-02,PER,other_purse_seines,8,19.99
-6.4,-81,2023-03,PER,other_purse_seines,1,1.04
-7.5,-79.8,2023-02,PER,other_purse_seines,17,30.6
-8.6,-80,2023-03,PER,other_purse_seines,1,0.6
-14.6,-77.5,2023-02,GBR,other_purse_seines,1,5.46
-13,-76.8,2023-03,PER,other_purse_seines,1,4.03
-8,-79.7,2023-02,AIA,purse_seines,1,2.3
-9.2,-80.5,2023-03,PER,other_purse_seines,2,4.63
-10,-78.3,2023-01,PER,fishing,1,2.08
-18.1,-71,2023-01,NA,other_purse_seines,1,0.76
-8.5,-79.6,2023-01,HND,other_purse_seines,1,2.56
-15,-75.6,2023-01,PER,other_purse_seines,3,10.29
-16.8,-76.8,2023-03,PER,tuna_purse_seines,2,3.64
-14,-76.3,2023-03,PER,pole_and_line,1,1.09
-11,-78.1,2023-01,PER,other_purse_seines,2,1.95
-8.5,-82.9,2023-03,ECU,tuna_purse_seines,1,0.31
-9.8,-78.4,2023-01,PER,purse_seines,8,35.12
-9.2,-79.7,2023-03,PER,other_purse_seines,1,0.6
-14,-76.5,2023-03,PER,pole_and_line,1,0.14
-17.3,-77.8,2023-03,NA,purse_seines,1,1.48
-15.3,-77.1,2023-03,AIA,purse_seines,1,3.28
-4.7,-82.1,2023-02,PER,other_purse_seines,1,3.06
-14.5,-77.1,2023-02,PER,pole_and_line,1,1.18
-14.3,-76.6,2023-01,PER,purse_seines,1,0.41
-10,-78.9,2023-02,PER,other_purse_seines,1,1.63
-11.6,-77.7,2023-03,PER,other_purse_seines,1,0.82
-11.8,-77.4,2023-01,PER,purse_seines,5,4.99
-9.1,-78.6,2023-03,PER,tuna_purse_seines,2,20.68
-12,-77.2,2023-01,PER,pole_and_line,2,19.53
-9.6,-78.6,2023-01,PER,purse_seines,4,7.25
-12,-77.2,2023-01,SSD,tuna_purse_seines,1,0.42
-10.8,-78.2,2023-01,AIA,purse_seines,1,4.88
-7.4,-79.8,2023-01,PER,fishing,1,2.17
-12.4,-76.9,2023-01,PER,tuna_purse_seines,1,1.14
-12.2,-78.6,2023-03,PER,pole_and_line,1,0.96
-12.1,-77.7,2023-02,PER,other_purse_seines,1,0.38
-11.1,-78.3,2023-01,PER,other_purse_seines,2,1.33
-15.2,-77.5,2023-02,PER,tuna_purse_seines,1,1.68
-8.4,-79.2,2023-03,PER,other_purse_seines,1,2.74
-17.2,-71.9,2023-02,NA,other_purse_seines,1,5.76
-13,-76.7,2023-01,PER,pole_and_line,1,1.73
-14.9,-77.5,2023-03,PER,other_purse_seines,1,3.24
-7,-80.2,2023-01,PER,other_purse_seines,17,44.72
-11.1,-77.9,2023-01,PER,other_purse_seines,2,1.18
-13.6,-79.5,2023-02,PER,tuna_purse_seines,1,1.28
-6.3,-80.9,2023-01,PER,tuna_purse_seines,5,8.11
-9.9,-78.3,2023-01,PER,purse_seines,2,0.65
-8.5,-79.1,2023-01,PER,fishing,2,0.79
-11.6,-77.7,2023-01,PER,set_longlines,1,2.06
-12.3,-76.9,2023-01,PER,fishing,1,0.25
-7,-80.9,2023-03,PER,other_purse_seines,1,1.56
-8.6,-79,2023-03,PER,inconclusive,1,1.7
-5.9,-82.1,2023-02,PER,other_purse_seines,1,0.12
-9.9,-78.5,2023-01,PER,purse_seines,2,2.07
-17.6,-71.6,2023-02,PER,other_purse_seines,1,1.2
-6.8,-82.6,2023-03,ECU,tuna_purse_seines,1,0.22
-12.3,-77.2,2023-01,PER,inconclusive,1,1.04
-5.4,-81.3,2023-01,PER,other_purse_seines,1,0.91
-12.3,-79.1,2023-02,PER,tuna_purse_seines,1,3.01
-8,-79.4,2023-01,NA,other_purse_seines,3,18.62
-7.2,-79.9,2023-01,PER,other_purse_seines,36,78.4
-14.5,-76.1,2023-01,NA,other_purse_seines,1,5.35
-15.2,-76.6,2023-03,NA,pole_and_line,1,3.85
-6.6,-81.7,2023-02,PER,other_purse_seines,1,0.28
-9.1,-78.6,2023-02,PER,other_purse_seines,17,43.25
-15.3,-76.6,2023-03,PER,other_purse_seines,1,2.25
-5.6,-81.1,2023-02,PER,other_purse_seines,1,8.38
-10.9,-78,2023-02,PER,other_purse_seines,1,0.72
-9.7,-79.4,2023-01,PER,other_purse_seines,1,0.37
-13,-76.7,2023-01,HND,other_purse_seines,1,3.32
-8,-79.5,2023-01,PER,other_purse_seines,39,115.67
-14.5,-77.9,2023-02,PER,tuna_purse_seines,2,1.76
-9.5,-78.8,2023-02,PER,other_purse_seines,2,1.65
-11.9,-77.4,2023-01,PER,purse_seines,1,0.34
-17.8,-71.3,2023-01,PER,other_purse_seines,2,9.58
-9.2,-82.5,2023-03,PAN,tuna_purse_seines,1,0.07
-11,-77.8,2023-01,NA,other_purse_seines,1,0.13
-7,-80.7,2023-01,PER,other_purse_seines,1,2.87
-14.9,-77,2023-03,PER,other_purse_seines,1,1.13
-6.8,-82,2023-03,PER,other_purse_seines,1,5.02
-15.4,-77.1,2023-03,AIA,purse_seines,1,3.05
-15.9,-77.2,2023-02,ECU,tuna_purse_seines,1,2.14
-8.5,-79.1,2023-01,HND,other_purse_seines,1,2.67
-14,-77.4,2023-03,PER,other_purse_seines,1,0.91
-8,-79.3,2023-01,NA,other_purse_seines,3,3.5
-7.6,-80,2023-03,PER,other_purse_seines,1,0.18
-9.4,-81.3,2023-01,PER,tuna_purse_seines,1,4.09
-10,-78.4,2023-02,PER,other_purse_seines,9,18.7
-8,-79.5,2023-01,NA,other_purse_seines,2,0.34
-9,-78.8,2023-01,NA,other_purse_seines,1,0.32
-8.9,-79.9,2023-01,PER,other_purse_seines,1,2.7
-9.9,-78.4,2023-01,PER,purse_seines,10,43.47
-9.8,-78.5,2023-01,PER,purse_seines,1,0.86
-12.4,-77.3,2023-03,PER,fishing,1,0.2
-15.2,-76.6,2023-03,PER,pole_and_line,1,2.08
-14.9,-77,2023-02,PER,tuna_purse_seines,1,1.16
-7.9,-83.1,2023-03,ECU,tuna_purse_seines,1,0.38
-8,-79.7,2023-02,PER,fishing,1,1.94
-7.7,-79.6,2023-02,PER,other_purse_seines,29,81.48
-9.2,-78.8,2023-01,HND,other_purse_seines,1,0.07
-17.6,-71.6,2023-02,NA,other_purse_seines,1,3.32
-17.3,-77.9,2023-03,NA,purse_seines,1,0.45
-15.3,-78.6,2023-03,ECU,tuna_purse_seines,1,0.07
-8.9,-82.5,2023-03,PAN,tuna_purse_seines,1,0.94
-9.8,-78.3,2023-01,PER,purse_seines,2,2.47
-8.1,-81,2023-02,NA,purse_seines,1,5.58
-9.8,-78.4,2023-01,HND,other_purse_seines,1,7.3
-14,-76.4,2023-03,PER,pole_and_line,1,2.33
-6.8,-80.6,2023-03,PER,other_purse_seines,1,1.17
-8.6,-79.6,2023-01,PER,purse_seines,1,2.22
-7.6,-79.9,2023-01,PER,other_purse_seines,27,63.13
-8.3,-81.6,2023-02,NA,purse_seines,1,5.44
-8.2,-79.1,2023-02,PER,other_purse_seines,2,9.05
-10,-78.3,2023-02,PER,purse_seines,1,0.83
-8.6,-83,2023-03,ECU,tuna_purse_seines,1,5.41
-11.8,-77.5,2023-01,PER,purse_seines,2,8.65
-8.5,-79,2023-01,PER,other_purse_seines,4,2.82
-16.5,-78.2,2023-03,ECU,tuna_purse_seines,1,5.11
-10.7,-78,2023-01,AIA,purse_seines,1,3.01
-11.8,-77.9,2023-01,PER,purse_seines,1,1.65
-10.1,-80.9,2023-01,PER,tuna_purse_seines,1,0.52
-12.9,-76.9,2023-01,PER,tuna_purse_seines,1,0.55
-11.8,-77.3,2023-01,PER,purse_seines,4,7.24
-7.9,-79.7,2023-01,PER,pole_and_line,1,2.03
-9.1,-80,2023-03,PER,other_purse_seines,1,1.09
-6.8,-81.7,2023-02,PER,other_purse_seines,1,4.32
-16.4,-77.8,2023-03,PER,tuna_purse_seines,3,26.69
-12,-77.1,2023-02,PER,purse_seines,3,30.74
-10.2,-78.3,2023-01,AIA,purse_seines,1,0.17
-6.6,-82.6,2023-03,ECU,tuna_purse_seines,1,0.21
-7.6,-79.9,2023-01,PER,pole_and_line,1,3.92
-15.6,-79,2023-03,ECU,tuna_purse_seines,1,0.09
-15.3,-77.2,2023-02,PER,other_purse_seines,12,42.78
